"Strategy","Mean","SD","CI_lower","CI_upper"
"No Screening",62.9267626695315,64.4857688975713,1.72505166900278,236.710255270243
"Screening",1442.38484125297,142.005144055785,1181.06944306791,1734.86098746341
"Incremental",1379.45807858344,150.984421582667,1094.86135835234,1688.06933277411
