"sim","no_screen_cost","screen_cost","incremental_cost"
1,23.2671770473615,1370.15450958119,1346.88733253383
2,199.864917500449,1330.03584513429,1130.17092763384
3,7.57103046697057,1481.7022311304,1474.13120066343
4,4.16905590867282,1384.27841837779,1380.10936246912
5,108.570082949389,1356.82044261549,1248.2503596661
6,168.925799302483,1361.8638591957,1192.93805989322
7,22.1974266001963,1296.82407088841,1274.62664428822
8,55.015244168776,1271.27260912982,1216.25736496104
9,69.2850923611914,1560.10319628707,1490.81810392588
10,55.5892274113344,1352.19969307082,1296.61046565948
11,147.659051549586,1469.30406514609,1321.64501359651
12,25.7447650991892,1484.75706804621,1459.01230294702
13,31.3534996937914,1382.56806309868,1351.21456340488
14,8.18778023050685,1538.97631297795,1530.78853274744
15,30.4509032190298,1419.0860644255,1388.63516120647
16,58.9333131525757,1281.95595013979,1223.02263698721
17,24.2142564584105,1455.34428959406,1431.13003313565
18,12.0968503599969,1397.12858665587,1385.03173629588
19,17.0549607795366,1415.41477580387,1398.35981502433
20,6.84642299792746,1385.48162171016,1378.63519871223
21,110.802313971816,1501.88013046189,1391.07781649007
22,177.604373400508,1258.85980757385,1081.25543417334
23,38.825819535773,1224.55145231339,1185.72563277761
24,196.417710196106,1632.78182948519,1436.36411928908
25,28.8832449723921,1217.85191955545,1188.96867458306
26,28.6687338200784,1386.99064178602,1358.32190796594
27,202.997417554985,1684.34831817798,1481.350900623
28,79.0245094761874,1405.78069604164,1326.75618656545
29,84.9417280766688,1572.30073436417,1487.3590062875
30,12.5196418716038,1342.6760465246,1330.156404653
31,5.03497356972086,1406.72690509367,1401.69193152395
32,59.1819569767632,1464.39479943975,1405.21284246299
33,19.353495451465,1646.16099457398,1626.80749912252
34,39.1134448565768,1616.34106750983,1577.22762265325
35,13.9864971711664,1494.33390895122,1480.34741178006
36,53.9239236610205,1300.88389811202,1246.959974451
37,46.0486336578163,1539.62407699072,1493.5754433329
38,94.4093562004969,1611.89561101263,1517.48625481213
39,0.618238345791392,1631.13022165047,1630.51198330468
40,19.7805870653517,1385.93433603883,1366.15374897348
41,60.7448894598639,1469.66502071602,1408.92013125616
42,70.3873165361812,1628.72135505103,1558.33403851485
43,18.0275008106226,1355.05191524886,1337.02441443824
44,23.181287487104,1481.47073287639,1458.28944538929
45,7.54887942362492,1442.34797260967,1434.79909318605
46,17.1193445498395,1238.69704456972,1221.57770001988
47,52.7349143803052,1331.29520138696,1278.56028700666
48,70.3536401254476,1481.88062156741,1411.52698144196
49,100.818576966301,1440.6339454035,1339.8153684372
50,5.91152977988126,1353.56531421161,1347.65378443173
51,43.8053644546058,1277.66071763104,1233.85535317644
52,42.7389791578262,1377.70107184186,1334.96209268403
53,153.616242509044,1433.00154012575,1279.38529761671
54,2.95414946034917,1729.27113815891,1726.31698869856
55,11.7470627399566,1290.4074222744,1278.66035953444
56,103.01098516389,1611.09918635121,1508.08820118732
57,60.103045700734,1397.89174794734,1337.78870224661
58,46.5011290663368,1327.09151584608,1280.59038677974
59,50.6815361185239,1639.12040554208,1588.43886942355
60,3.70378250910418,1379.57226882586,1375.86848631676
61,38.4868982616882,1044.30705177685,1005.82015351516
62,3.44976729335015,1548.29911710954,1544.84934981619
63,80.3523180153626,1328.32086329364,1247.96854527828
64,82.0353683850986,1418.74422852233,1336.70886013723
65,29.9235827912998,1502.53861543601,1472.61503264471
66,124.638029672228,1519.10890551934,1394.47087584711
67,113.031760127771,1312.52700198748,1199.49524185971
68,65.3551608477593,1865.63213132055,1800.27697047279
69,2.29934762262043,1587.48248662124,1585.18313899861
70,35.868563351586,1690.36811970213,1654.49955635054
71,119.143960910767,1392.04875198202,1272.90479107126
72,86.9050988026179,1479.2159320292,1392.31083322658
73,39.8328282122303,1524.68163549801,1484.84880728578
74,213.106257596136,1458.18444910272,1245.07819150658
75,64.9589841964699,1561.73448389098,1496.77549969451
76,2.87593217550961,1524.61367440807,1521.73774223256
77,72.3314422484411,1488.5194218672,1416.18797961876
78,98.8903389317787,1489.87517111028,1390.9848321785
79,37.8374987448867,1628.70005193045,1590.86255318557
80,39.5322120856561,1450.26193141432,1410.72971932866
81,190.073550535558,1307.02657162508,1116.95302108952
82,8.81266599340129,1704.08711562781,1695.27444963441
83,43.6580597088667,1597.56883359236,1553.91077388349
84,84.4568337990204,1292.35719510917,1207.90036131015
85,226.005026970068,1350.07827497066,1124.07324800059
86,69.5646882099521,1458.93450477305,1389.3698165631
87,0.342158185069205,1588.86833855748,1588.52618037241
88,9.92328367266673,1685.95418420005,1676.03090052738
89,8.60209767535319,1518.40463733542,1509.80253966006
90,99.1390250617808,1337.60140180277,1238.46237674099
91,43.1697324783917,1486.15518156989,1442.9854490915
92,84.4681310758626,1412.89200872207,1328.42387764621
93,16.7803982290147,1350.85707726636,1334.07667903735
94,51.9964897155062,1347.25372229393,1295.25723257843
95,6.87520621623158,1446.44491447007,1439.56970825384
96,1.08245169890894,1461.22552210272,1460.14307040382
97,126.882359563398,1743.05708617034,1616.17472660694
98,47.497745173055,1360.42114650592,1312.92340133286
99,6.92880892583308,1270.7838497137,1263.85504078787
100,206.267211024021,1684.81756465628,1478.55035363226
101,37.6319936026667,1571.43908592598,1533.80709232331
102,6.30239970235419,1312.36253444133,1306.06013473898
103,50.0555603065132,1365.33348226542,1315.2779219589
104,1.17990370251252,1479.03320567905,1477.85330197654
105,75.3289992101065,1335.5790841911,1260.25008498099
106,97.3607430176264,1201.57615548579,1104.21541246816
107,149.867337965888,1414.68959391828,1264.82225595239
108,21.5589113544797,1345.99628153643,1324.43737018195
109,14.4065028079432,1493.1175288331,1478.71102602516
110,77.7238962401477,1598.39683763937,1520.67294139922
111,6.31616972310229,1520.93500071028,1514.61883098718
